id,local_articles,total_articles,local_docs,total_docs,question
142,1,4,1,4,Trong những trường hợp nào công ty sẽ bị cơ quan thuế ấn định từng yếu tố để xác định số tiền thuế phải nộp?
148,1,6,1,5,Khi công ty thay đổi địa chỉ trụ sở sang tỉnh khác thì cần thực hiện những thủ tục gì với cơ quan thuế quản lý trực tiếp?
213,6,7,5,6,"Khi nộp hồ sơ đề nghị cấp giấy phép cho thuê lại lao động, trong bao lâu thì Sở Lao động - Thương binh và Xã hội sẽ thẩm tra và trình cấp giấy phép?"
214,2,2,2,2,Hồ sơ đề nghị cấp giấy phép cho thuê lại lao động của công ty bao gồm những giấy tờ gì?
219,3,4,3,4,Trong những trường hợp nào doanh nghiệp cho thuê lại lao động được đề nghị cấp lại giấy phép?
247,1,4,1,3,Hộ kinh doanh trong trường hợp nào thì được khôi phục lại Giấy chứng nhận đăng ký hộ kinh doanh sau khi đã bị thu hồi?
249,3,3,3,3,Chủ hộ kinh doanh muốn đăng ký hộ kinh doanh qua mạng thì thực hiện bằng cách nào?
252,1,5,1,4,Những tiêu chí nào để xác định một cá nhân là chủ sở hữu hưởng lợi của doanh nghiệp?
254,5,7,5,7,Cơ quan đăng ký kinh doanh cấp tỉnh có nhiệm vụ và quyền hạn gì trong việc cấp đăng ký doanh nghiệp?
257,4,7,4,6,Cơ quan đăng ký kinh doanh cấp xã có nhiệm vụ và quyền hạn gì đối với hộ kinh doanh?
259,3,5,3,5,"Khi thực hiện chia công ty cổ phần, hồ sơ đăng ký doanh nghiệp cho công ty mới thành lập cần những giấy tờ gì?"
265,1,2,1,2,Hồ sơ đăng ký doanh nghiệp nộp qua mạng thông tin điện tử có giá trị pháp lý như thế nào so với bản giấy?
267,1,2,1,2,Hồ sơ đăng ký thay đổi thành viên hợp danh của công ty hợp danh bao gồm những giấy tờ gì?
268,2,5,2,5,Hồ sơ đăng ký thành lập doanh nghiệp khi chuyển đổi từ hộ kinh doanh cần những giấy tờ gì?
269,1,2,1,2,Công ty muốn thực hiện đăng ký doanh nghiệp qua mạng thì cần thực hiện các bước như thế nào?
270,1,3,1,2,Hồ sơ đăng ký thay đổi người đại diện theo pháp luật của công ty bao gồm những giấy tờ gì?
273,1,2,1,2,Khi mua lại một doanh nghiệp tư nhân thì hồ sơ đăng ký thay đổi chủ doanh nghiệp bao gồm những giấy tờ gì?
275,2,4,2,4,"Khi thay đổi địa chỉ trụ sở chính, công ty cần chuẩn bị những giấy tờ gì trong hồ sơ đăng ký?"
280,2,5,2,5,"Khi muốn tăng hoặc giảm vốn đầu tư, chủ doanh nghiệp tư nhân cần gửi giấy đề nghị thay đổi vốn đến cơ quan nào?"
283,4,6,4,6,Giấy chứng nhận đăng ký doanh nghiệp có đồng thời là giấy chứng nhận đăng ký thuế không?
284,3,6,3,6,"Khi sáp nhập một số công ty vào công ty mình, hồ sơ đăng ký thay đổi nội dung đăng ký doanh nghiệp của công ty nhận sáp nhập cần những giấy tờ gì?"
288,3,4,3,4,Công ty cần làm gì để được cấp lại Giấy chứng nhận đăng ký doanh nghiệp khi bị mất hoặc bị rách?
294,3,6,3,6,Nếu công ty phát hiện thông tin trên Giấy chứng nhận đăng ký doanh nghiệp bị sai so với hồ sơ đăng ký thì phải làm thế nào?
295,3,5,3,5,Công ty phải thực hiện đề nghị và nộp phí công bố nội dung đăng ký doanh nghiệp vào thời điểm nào?
296,2,4,2,4,Một cá nhân được phép đăng ký tối đa bao nhiêu hộ kinh doanh trên phạm vi toàn quốc?
298,1,2,1,2,Những trường hợp nào cá nhân không được quyền thành lập hộ kinh doanh?
299,4,4,3,3,Khi nộp hồ sơ đăng ký hộ kinh doanh bằng bản giấy thì chủ hộ cần xuất trình những giấy tờ gì?
300,4,4,4,4,"Khi làm thủ tục đăng ký hộ kinh doanh, tôi cần nộp bao nhiêu bộ hồ sơ?"
301,4,5,4,5,"Khi muốn đăng ký hộ kinh doanh, chủ hộ có thể lựa chọn những phương thức đăng ký nào?"
304,4,7,4,6,Hồ sơ đăng ký thành lập hộ kinh doanh bao gồm những giấy tờ gì?
308,2,4,2,4,"Khi nộp hồ sơ đăng ký hộ kinh doanh, tôi có thể thanh toán lệ phí bằng những cách nào?"
327,1,2,1,2,Quỹ bảo lãnh tín dụng có thể bảo lãnh tối đa bao nhiêu phần trăm giá trị khoản vay cho doanh nghiệp nhỏ và vừa?
330,3,4,3,4,Thời hạn cấp bảo lãnh tín dụng của Quỹ bảo lãnh tín dụng cho doanh nghiệp được xác định như thế nào?
331,4,4,4,4,Khi công ty xin bảo lãnh tín dụng từ Quỹ bảo lãnh tín dụng cho SME thì đồng tiền bảo lãnh là loại tiền nào?
332,3,4,3,4,Những doanh nghiệp nhỏ và vừa nào sẽ được ưu tiên xem xét cấp bảo lãnh tín dụng?
333,4,5,4,5,"Khi đề nghị bảo lãnh tín dụng, công ty phải trả những loại chi phí nào cho Quỹ bảo lãnh tín dụng?"
334,1,3,1,3,Hồ sơ đề nghị bảo lãnh tín dụng cho doanh nghiệp nhỏ và vừa bao gồm những giấy tờ gì?
335,3,4,3,4,Khi công ty nộp đủ hồ sơ xin bảo lãnh tín dụng hợp lệ thì bên bảo lãnh phải hoàn thành xem xét trong thời hạn bao lâu?
336,4,7,4,7,"Khi được bảo lãnh tín dụng, công ty có nghĩa vụ gì về việc cung cấp thông tin và tài liệu cho bên bảo lãnh?"
339,1,5,1,3,"Khi công ty không trả được nợ vay cho ngân hàng, quy trình thực hiện cam kết bảo lãnh tín dụng diễn ra như thế nào?"
341,1,4,1,4,Số tiền mà bên bảo lãnh trả nợ thay cho doanh nghiệp bao gồm những khoản nào?
342,1,13,1,11,Khi công ty tổ chức chương trình khuyến mại thì cần phải làm gì với cơ quan quản lý nhà nước về thương mại?
346,1,3,1,3,Những trường hợp nào thì nghĩa vụ bảo lãnh vay vốn của bên bảo lãnh được chấm dứt?
353,1,1,1,1,"Khi yêu cầu đặt cọc để bảo đảm thực hiện hợp đồng, số tiền tối đa công ty được quy định là bao nhiêu?"
378,1,4,1,4,Nếu thương nhân chưa đăng ký kinh doanh thì phải chịu trách nhiệm như thế nào về các hoạt động của mình?
409,2,4,2,4,Công ty cần thực hiện đăng ký thuế và xin cấp mã số thuế vào thời điểm nào?
520,1,4,1,4,"Khi xây dựng quy chế thưởng cho nhân viên, công ty cần phải thực hiện những bước nào để đảm bảo đúng quy định?"
528,1,4,1,3,Công ty phải làm gì về hợp đồng lao động trước khi nhận nhân viên vào làm việc?
550,1,5,1,3,Công ty tổ chức sự kiện bán hàng lưu động với tổng giá trị trên 10 triệu đồng và có cung cấp kèm dịch vụ chăm sóc liên tục cho khách hàng thì cần thực hiện những trách nhiệm thông báo và quy định thanh toán nào?
557,3,4,3,4,"Để được hỗ trợ chi phí tư vấn pháp luật, công ty cần tìm tư vấn viên ở đâu và quy trình nộp hồ sơ đề nghị hỗ trợ được thực hiện như thế nào?"
563,1,5,1,2,Trong trường hợp Giám đốc công ty không còn đáp ứng đủ các tiêu chuẩn về chuyên môn và điều kiện bổ nhiệm theo luật định thì sẽ bị xử lý như thế nào?
575,1,8,1,6,"Công ty tôi là doanh nghiệp vận tải sử dụng nhiều lao động nữ và đang có số lỗ từ năm trước, vậy công ty được giảm thuế thu nhập doanh nghiệp như thế nào và số lỗ này được xử lý ra sao?"
578,2,5,2,4,"Để thành lập một doanh nghiệp hoạt động dịch vụ việc làm thì cần đáp ứng những điều kiện gì và khi vận hành, doanh nghiệp này cần quản lý những nhóm thông tin đăng ký lao động nào của người lao động?"
582,4,7,4,7,"Khi chuyển đổi từ hộ kinh doanh lên doanh nghiệp nhỏ và vừa, công ty tôi sẽ được miễn những loại lệ phí nào và thời hạn miễn lệ phí môn bài là bao lâu?"
584,6,9,5,7,Nếu công ty muốn nhận hỗ trợ chi phí thuê giải pháp chuyển đổi số thì cần thực hiện kê khai quy mô doanh nghiệp như thế nào và mức hỗ trợ tối đa cho doanh nghiệp nhỏ là bao nhiêu?
585,5,6,5,6,"Để được hưởng các chính sách hỗ trợ về chi phí thuê mặt bằng hay tư vấn sở hữu trí tuệ, doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo cần đáp ứng những tiêu chí nào nếu muốn tham gia vào một cụm liên kết ngành?"
598,1,7,1,4,"Khi công ty muốn mở rộng quy mô bằng cách đăng ký thành lập pháp nhân mới và lập thêm chi nhánh, thì hai hình thức này có điểm gì khác nhau về tính chất pháp lý và yêu cầu công bố thông tin?"
601,1,4,1,3,Khi công ty thuê khoán một nhà xưởng nhưng trong hợp đồng không ghi rõ thời hạn thuê thì thời hạn này được xác định thế nào và lúc bàn giao tài sản cần làm những thủ tục gì?
606,3,5,3,5,"Khi công ty muốn phản hồi về chi phí tuân thủ của một thủ tục hành chính, công ty có thể tìm hiểu nội dung rà soát đánh giá thủ tục đó ở những hình thức công khai nào?"
607,4,5,4,5,"Khi công ty muốn đóng góp ý kiến về việc đánh giá tác động của một thủ tục hành chính mới, nội dung rà soát đánh giá cần tập trung vào những yếu tố nào và Chủ tịch UBND tỉnh phải công bố những thông tin gì về thủ tục đó?"
608,2,5,2,4,"Công ty tôi muốn thành lập doanh nghiệp dịch vụ việc làm thì cần đáp ứng điều kiện gì và khi tư vấn cho người lao động, tôi cần biết mức hưởng trợ cấp thất nghiệp hằng tháng được tính như thế nào?"
622,3,7,3,7,Công ty tôi muốn tiếp cận mạng lưới tư vấn viên pháp luật để được hỗ trợ chi phí tư vấn thì cần thực hiện quy trình đề nghị và chuẩn bị hồ sơ như thế nào?
624,1,3,1,3,Nếu công ty tôi muốn cung cấp nhân sự cho đối tác theo hình thức cho thuê lại lao động thì điều kiện về giấy phép là gì và nếu hoạt động mà không có giấy phép này thì sẽ bị xử lý ra sao?
637,1,4,1,3,"Khi công ty tổ chức một sự kiện cung cấp dịch vụ liên tục không tại địa điểm giao dịch thường xuyên với giá trị trên 10 triệu đồng, công ty cần thông báo cho cơ quan nào và phải tuân thủ quy định gì về việc yêu cầu khách hàng thanh toán trước?"
644,1,6,1,5,Nếu một nhóm nhà đầu tư muốn thành lập quỹ để đầu tư cho doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo thì có thể tổ chức quản lý quỹ theo những mô hình nào và công ty quản lý quỹ cần thực hiện thủ tục gì về đăng ký kinh doanh?
648,1,8,1,8,Công ty Việt Nam thuê một đơn vị giám định nước ngoài để xác định tình trạng hàng hóa thì quan hệ này có được coi là có yếu tố nước ngoài không và chứng thư giám định họ cấp cần đảm bảo những yêu cầu gì về hình thức?
654,1,4,1,2,"Trong trường hợp công ty gặp khó khăn trong sản xuất kinh doanh dẫn đến không trả được nợ đúng hạn, sự khác biệt về điều kiện và kết quả xử lý giữa việc điều chỉnh kỳ hạn trả nợ và gia hạn nợ tại Quỹ bảo lãnh tín dụng là gì?"
670,2,5,2,4,"Để thành lập một doanh nghiệp hoạt động dịch vụ việc làm, công ty cần đáp ứng những điều kiện cơ bản nào và khi thu thập thông tin đăng ký lao động từ người lao động thì phải bao gồm những nhóm thông tin gì?"
686,1,9,1,8,"Khi thuê đơn vị vận chuyển hàng hóa, công ty cần thực hiện những nghĩa vụ gì và đơn vị vận chuyển có trách nhiệm bảo đảm những điều gì khi giao hàng?"
692,2,6,2,5,Công ty tôi đang vận hành dịch vụ việc làm thì cần đáp ứng điều kiện gì để được cấp giấy phép hoạt động và khi tư vấn cho khách hàng thì mức hưởng trợ cấp thất nghiệp hằng tháng được tính như thế nào?
700,1,4,1,4,"Trong trường hợp công ty TNHH hai thành viên có một thành viên là người đại diện theo pháp luật bất ngờ bị tạm giam, thành viên còn lại sẽ trở thành người đại diện theo pháp luật như thế nào và hồ sơ đăng ký thay đổi cần chuẩn bị những gì?"
701,5,9,5,8,"Công ty tôi là doanh nghiệp nhỏ và vừa đang phát triển sản phẩm trí tuệ nhân tạo thì được ưu tiên tiếp cận những nguồn lực nào và được hỗ trợ cụ thể gì về chi phí, đào tạo?"
706,1,4,1,4,"Khi công ty muốn tăng vốn điều lệ bằng cách cho phép thành viên góp thêm bí quyết kỹ thuật, thì tài sản này có được chấp nhận là vốn góp và hồ sơ đăng ký thay đổi vốn điều lệ cần kèm theo giấy tờ gì để chứng minh?"
717,3,12,3,12,"Nếu công ty tôi tham gia vào một chuỗi phân phối sản phẩm có ít nhất 80% doanh nghiệp nhỏ và vừa cung ứng tại Việt Nam, thì công ty sẽ được hưởng những ưu đãi về thuế, đất đai và các nội dung hỗ trợ cụ thể nào khi tham gia cụm liên kết ngành, chuỗi giá trị này?"
720,1,4,1,3,Nếu công ty tự ý tuyển dụng chuyên gia nước ngoài mà chưa giải trình nhu cầu và được cơ quan nhà nước chấp thuận bằng văn bản thì sẽ bị xử lý như thế nào?
723,1,4,1,4,"Khi công ty thay đổi công nghệ dẫn đến nguy cơ mất việc làm cho nhân viên, công ty cần đáp ứng điều kiện gì để được hỗ trợ kinh phí đào tạo lại và nếu không đào tạo mà chuyển họ sang làm nghề khác thì sẽ bị xử lý thế nào?"
732,1,3,1,3,"Để thực hiện tăng hoặc giảm vốn góp của một quỹ đầu tư cho doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo, công ty quản lý quỹ cần tuân thủ những điều kiện và thủ tục thông báo nào?"
735,1,6,1,4,"Khi công ty xảy ra đình công không đúng trình tự thủ tục, cơ quan chức năng sẽ hỗ trợ giải quyết như thế nào và những hành vi vi phạm pháp luật trong cuộc đình công này sẽ được xử lý ra sao?"
737,1,3,1,3,"Để nâng cao tay nghề cho nhân viên, công ty có thể triển khai các hoạt động đào tạo cụ thể nào và cần thực hiện trách nhiệm gì về kế hoạch, báo cáo hằng năm?"
739,1,4,1,4,"Khi công ty gửi yêu cầu giải đáp vướng mắc pháp lý về một vụ việc cụ thể trong sản xuất kinh doanh mà cơ quan nhà nước không trả lời trực tiếp, công ty phải làm thế nào để tiếp cận tư vấn viên và được hỗ trợ chi phí tư vấn?"
751,1,6,1,4,"Trong trường hợp doanh nghiệp dự án PPP không thực hiện đúng trách nhiệm bảo dưỡng định kỳ và cung cấp dịch vụ công dẫn đến việc chấm dứt hợp đồng trước thời hạn, quy trình thanh lý hợp đồng và xác định trách nhiệm đối với phần việc chưa hoàn thành được thực hiện như thế nào?"
759,3,5,3,4,"Để được hỗ trợ kinh phí thuê tư vấn về quản trị nội bộ, công ty cần thực hiện kê khai quy mô doanh nghiệp như thế nào và mức hỗ trợ tối đa sẽ được tính ra sao tùy theo quy mô đó?"
766,2,6,2,4,"Khi công ty nhận bảo đảm bằng tài sản đã đăng ký để có hiệu lực đối kháng với người thứ ba, công ty cần thực hiện thông báo xử lý tài sản đó như thế nào để tránh phải bồi thường thiệt hại?"
772,6,10,6,10,"Công ty tôi là doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo, muốn tham gia vào một chuỗi giá trị để được hỗ trợ thì cần đáp ứng tiêu chí lựa chọn nào và sẽ được hỗ trợ những nội dung gì về công nghệ hay sở hữu trí tuệ?"
776,1,5,1,5,"Khi công ty thuê đơn vị vận chuyển hàng hóa, đơn vị này có quyền từ chối vận chuyển nếu hàng không đúng thỏa thuận không và công ty có nghĩa vụ gì về cung cấp thông tin tài sản để đảm bảo an toàn?"
792,2,4,2,3,Công ty nhỏ và vừa muốn cho nhân viên đi học nghề trình độ sơ cấp thì được Nhà nước hỗ trợ chi phí như thế nào và người lao động cần điều kiện gì để được hưởng hỗ trợ này?
794,2,5,2,4,"Để nhận được hỗ trợ tư vấn cho doanh nghiệp nhỏ và vừa, công ty cần theo dõi kế hoạch triển khai tại đâu và việc thực hiện hỗ trợ này được quy định theo hướng dẫn nào?"
795,2,10,1,5,"Khi công ty mua máy móc trả chậm và muốn bảo lưu quyền sở hữu cho đến khi thanh toán hết, thì cần thực hiện thủ tục gì và có thể dùng Quỹ bảo lãnh tín dụng để bảo lãnh cho khoản nợ này như thế nào?"
797,3,7,3,7,"Công ty tôi muốn tìm hiểu về các chính sách hỗ trợ mở rộng thị trường và chuỗi phân phối sản phẩm thì có thể truy cập thông tin miễn phí ở đâu và những doanh nghiệp vận hành chuỗi phân phối này được hưởng ưu đãi gì về thuế, đất đai?"
816,1,5,1,4,Công ty vận tải sử dụng nhiều lao động nữ muốn được giảm thuế thu nhập doanh nghiệp theo chi phí chi thêm thì phải thực hiện thủ tục gì và ai là người có thẩm quyền quyết định?
817,2,6,2,6,Khi công ty quản lý quỹ đầu tư khởi nghiệp sáng tạo cho doanh nghiệp nhỏ và vừa muốn gia hạn thời gian hoạt động của quỹ thì phải thực hiện thủ tục thông báo như thế nào và cần chuẩn bị những hồ sơ gì?
829,3,7,2,6,"Để được hỗ trợ chi phí khi sử dụng dịch vụ tư vấn pháp luật từ mạng lưới tư vấn viên, công ty cần chuẩn bị hồ sơ đề nghị gồm những gì và hoạt động tư vấn này được thực hiện dựa trên những căn cứ nào?"
834,1,5,1,4,"Khi công ty chuẩn bị hồ sơ đề nghị phê duyệt dự án PPP để mời gọi nhà đầu tư quốc tế, bộ hồ sơ này cần những tài liệu gì và phải sử dụng ngôn ngữ nào?"
844,4,5,3,4,Công ty tôi vừa là doanh nghiệp khởi nghiệp sáng tạo vừa tham gia vào chuỗi giá trị thì mức hỗ trợ tối đa cho hợp đồng tư vấn xác lập quyền sở hữu trí tuệ trong nước và chi phí duy trì tài khoản sàn thương mại điện tử là bao nhiêu?
846,1,5,1,5,Công ty kinh doanh dịch vụ muốn đăng ký nhận hỗ trợ cho doanh nghiệp nhỏ và vừa thì cần căn cứ vào tiêu chí nào để xác định quy mô và phải thực hiện kê khai ra sao?
847,2,14,2,6,Công ty muốn dùng một tài sản hình thành trong tương lai để bảo đảm cho nhiều khoản vay khác nhau thì cần đáp ứng điều kiện về giá trị và nghĩa vụ thông báo như thế nào?
861,3,7,3,5,"Để thành lập doanh nghiệp cung ứng và giới thiệu lao động cho người sử dụng lao động, công ty cần đáp ứng những điều kiện gì về giấy phép và vận hành?"
874,1,6,1,6,"Công ty TNHH hai thành viên muốn tiếp nhận thêm thành viên mới là cá nhân để tăng vốn điều lệ, sau đó dự định vay vốn từ Quỹ phát triển doanh nghiệp nhỏ và vừa thì cần chuẩn bị hồ sơ đăng ký thay đổi thành viên thế nào và phải đáp ứng điều kiện gì để được Quỹ xem xét cho vay?"
876,1,6,1,5,"Trong trường hợp công ty bị cơ quan thuế đề nghị thu hồi giấy chứng nhận đăng ký doanh nghiệp do nợ thuế kéo dài, hoặc bị yêu cầu chấm dứt kinh doanh ngành nghề có điều kiện nhưng không chấp hành và không gửi báo cáo theo quy định, thì quy trình thu hồi giấy phép sẽ diễn ra như thế nào và công ty cần làm gì để khôi phục tình trạng pháp lý?"
878,3,3,3,3,"Công ty tôi muốn cho nhân viên và quản lý tham gia đào tạo trực tuyến về khởi sự kinh doanh và quản trị doanh nghiệp thì được hưởng chính sách miễn giảm chi phí gì và các khóa học này được tổ chức, triển khai cụ thể ra sao?"
881,2,4,2,4,"Công ty tôi là doanh nghiệp nhỏ và vừa đang muốn tham gia chuỗi giá trị, vậy tôi có thể tra cứu miễn phí những thông tin gì trên Cổng thông tin quốc gia và được hỗ trợ chi phí cho những hoạt động tư vấn, đào tạo cụ thể nào?"
892,1,4,1,4,"Công ty phát hiện đối thủ nhập khẩu hàng giả mạo tác phẩm đã đăng ký của mình thì cần nộp đơn cho cơ quan nào, phải cung cấp những chứng cứ gì để chứng minh chủ thể quyền và quy trình xử lý đơn của cơ quan này diễn ra ra sao?"
895,2,5,2,3,"Công ty đang trong quá trình thương thảo hợp đồng chuyển nhượng quyền đối với giống cây trồng nhưng phát sinh tranh chấp về đặc tính giống, vậy công ty cần thực hiện thủ tục giám định như thế nào và trong trường hợp không đồng ý với kết quả giám định lần đầu thì xử lý ra sao?"
903,5,8,5,7,"Công ty thực hiện quản lý quỹ đầu tư khởi nghiệp sáng tạo khi tiến hành giải thể quỹ thì phải thực hiện trình tự thông báo ra sao, hồ sơ gồm những gì và chế độ kế toán trong quá trình này được áp dụng theo quy định nào?"
941,2,3,2,3,"Để được hỗ trợ đào tạo trực tuyến về quản trị doanh nghiệp cho người quản lý điều hành, công ty khởi nghiệp sáng tạo cần chứng minh điều kiện lựa chọn bằng tài liệu gì và đối tượng này được hiểu cụ thể là ai?"
952,4,6,4,5,"Trong trường hợp hợp đồng lao động bị tuyên bố vô hiệu toàn bộ dẫn đến doanh nghiệp cho thuê lại không đủ khả năng bồi thường cho người lao động, công ty cần làm gì để sử dụng tiền ký quỹ chi trả và quy trình rút số tiền này thực hiện như thế nào?"
954,1,4,1,4,"Công ty tôi muốn đăng ký nhận các gói hỗ trợ cho doanh nghiệp nhỏ và vừa, vậy làm sao để xác định chính xác công ty thuộc nhóm siêu nhỏ, nhỏ hay vừa dựa trên quy mô vốn, doanh thu, lao động và lĩnh vực hoạt động?"
966,1,4,1,3,"Công ty muốn thuê chuyên gia nước ngoài làm việc tại Việt Nam thì cần đảm bảo những điều kiện gì về nhân thân, thủ tục cấp phép và rủi ro xử phạt ra sao nếu sử dụng lao động khi giấy phép đã hết hạn?"
991,4,8,4,7,"Một hộ kinh doanh vừa chuyển đổi thành doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo, có tiềm năng cung ứng cho doanh nghiệp đầu chuỗi thì sẽ được hỗ trợ những gì về thủ tục thuế, kế toán, các chi phí vận hành sáng tạo và điều kiện để được chọn tham gia chuỗi giá trị?"
997,2,3,2,3,"Công ty tôi muốn tìm hiểu về việc giải quyết vướng mắc pháp lý chung và thuê tư vấn viên cho vụ việc cụ thể thì quy trình thực hiện, mức hỗ trợ chi phí và thời hạn của chương trình hỗ trợ pháp lý này được quy định thế nào?"
1008,1,6,1,3,Công ty muốn chạy chiến dịch khuyến mại cho sản phẩm mới thông qua một đơn vị quảng cáo chuyên nghiệp thì cần thực hiện những nghĩa vụ gì về thủ tục khuyến mại và có những quyền hạn nào khi thuê dịch vụ quảng cáo này?
1010,2,2,2,2,Công ty tôi đáp ứng tiêu chí doanh nghiệp nhỏ và vừa thì được hưởng những quyền lợi gì về chi phí khi sử dụng dịch vụ từ mạng lưới tư vấn viên và tham gia các khóa đào tạo sử dụng ngân sách nhà nước?
1021,1,4,1,4,"Khi công ty TNHH hai thành viên trở lên tiếp nhận một tổ chức làm thành viên mới do chuyển nhượng vốn, công ty cần chuẩn bị văn bản cử người đại diện cho tổ chức này với những nội dung gì và hồ sơ đăng ký thay đổi thành viên cần những giấy tờ nào, trong đó trường hợp nào được miễn bản sao giấy tờ pháp lý của cá nhân người đại diện?"
1024,4,7,4,7,"Công ty tôi là doanh nghiệp nhỏ và vừa mới chuyển đổi từ hộ kinh doanh, vậy tôi có thể tìm kiếm các thông tin hỗ trợ kinh doanh ở đâu và được hưởng những chính sách miễn, giảm chi phí tư vấn hay hướng dẫn thuế, kế toán cụ thể như thế nào?"
1036,1,3,1,2,Một thành viên công ty TNHH hai thành viên trở lên muốn chuyển nhượng phần vốn góp bằng quyền sở hữu trí tuệ cho người ngoài thì quy trình chào bán thực hiện thế nào và hồ sơ đăng ký thay đổi phần vốn góp cần những giấy tờ gì?
1049,2,4,2,4,"Công ty tôi muốn mời một chuyên gia nước ngoài đủ 18 tuổi, có chuyên môn tốt vào xử lý sự cố kỹ thuật phức tạp trong 2 tháng thì cần đáp ứng điều kiện gì về giấy phép và nếu không làm thủ tục xác nhận thì công ty cùng chuyên gia này sẽ bị xử lý ra sao?"
1067,5,10,5,8,"Công ty tôi mới thành lập chưa đủ một năm, giờ muốn nộp hồ sơ xin hỗ trợ doanh nghiệp nhỏ và vừa thì phải xác định quy mô doanh nghiệp dựa trên căn cứ nào, quy trình kê khai ra sao và thứ tự ưu tiên được nhận hỗ trợ được tính như thế nào?"
1072,5,6,5,6,"Công ty tôi là doanh nghiệp khởi nghiệp sáng tạo, vừa được một quỹ đầu tư cam kết rót vốn và đang có hợp đồng cung ứng cho một doanh nghiệp đầu chuỗi, vậy công ty cần đáp ứng phương thức lựa chọn nào để được hỗ trợ và sẽ được hỗ trợ những nội dung cụ thể nào về chi phí thuê mặt bằng cũng như tư vấn sở hữu trí tuệ?"
1082,1,2,1,2,"Công ty muốn mở chi nhánh mới bằng cách dùng tài sản có đăng ký quyền sở hữu của thành viên để góp vốn thì cần chuẩn bị hồ sơ đăng ký hoạt động chi nhánh gồm những gì, thủ tục chuyển quyền sở hữu tài sản đó ra sao và ai là người ký biên bản giao nhận tài sản này?"
1084,1,4,1,3,"Khi thành lập công ty, tôi cần quy định những nội dung gì về người đại diện theo pháp luật trong Điều lệ và mã số doanh nghiệp được cấp sau đó sẽ được sử dụng vào những mục đích cụ thể nào?"
1087,1,5,1,3,"Công ty muốn ký hợp đồng hợp tác với một đối tác để cùng khai thác mảnh đất, trong đó một bên đóng góp quyền sử dụng đất, một bên cung cấp dịch vụ vận hành và chia lợi nhuận thì nội dung hợp đồng cần đảm bảo những điều khoản chủ yếu nào và có lưu ý gì về mục đích sử dụng đất?"
1110,3,7,3,7,"Để đăng ký nhận hỗ trợ từ nhà nước, công ty tôi cần xác định lĩnh vực hoạt động và kê khai quy mô doanh nghiệp như thế nào, và trong trường hợp đáp ứng nhiều mức hỗ trợ khác nhau thì sẽ được xử lý ra sao?"
